text,intent
Can you arrange a taxi to take me to the museum at 2pm?,order taxi
I would like to order a taxi for 9am tomorrow.,order taxi
Can you send a taxi to pick me up from the park?,order taxi
I need a taxi to go to the library at 10am.,order taxi
Can you please arrange a taxi to take me to the convention center at 3pm?,order taxi
I need a taxi to take me to the airport at 12pm.,order taxi
Can you book a taxi for me for 2pm?,order taxi
I would like to order a taxi for 11am tomorrow.,order taxi
Can you arrange a taxi to take me to the beach at 1pm?,order taxi
I need a taxi to go to the train station at 4pm.,order taxi
Can you please book a taxi to take me to the airport at 11am?,order taxi
I need a taxi to take me to the mall at 12pm.,order taxi
Can you arrange a taxi to take me to the airport at 2pm?,order taxi
I would like to order a taxi for 6pm tomorrow.,order taxi
Can you send a taxi to pick me up from the airport?,order taxi
I need a taxi to go to the hospital at 9am.,order taxi
Can you please arrange a taxi to take me to the stadium at 8pm?,order taxi
I need a taxi,order taxi
Can you help me book a flight from New York to London for two people departing on June 15th and returning on June 22nd?,order flight
I need to fly from Los Angeles to Tokyo,order flight
What is the cheapest round-trip flight from Miami to Paris in December?,order flight
Can you help me find a direct flight from San Francisco to New York on December 10th?,order flight
I want to book a one-way flight from Chicago to London on November 25th. What are my options?,order flight
What is the best deal on a round-trip flight from Boston to Rome in January?,order flight
I'm interested in booking a flight from Toronto to Hong Kong in February. Can you help me find a good deal?,order flight
What is the baggage allowance for flights to Sydney on Qantas Airways?,order flight
Can you help me book a last-minute flight from Seattle to San Diego on December 20th?,order flight
I'm looking for a direct flight from Dubai to New York on Emirates Airlines departing on January 5th,order flight
What is the cancellation policy for flights to Bangkok on Thai Airways?,order flight
Can you help me find a flight from Los Angeles to Sydney with a layover in Honolulu?,order flight
I want to book a round-trip ticket from Vancouver to Paris for two people in March. What are my options?,order flight
What is the flight time from New York to Tokyo on Delta Airlines?,order flight
Can you find me a one-way flight from San Francisco to Seoul with a stopover in Tokyo?,order flight
I need to book a flight from Miami to Madrid for three people in April. Can you help me with that?,order flight
What is the cost of a one-way flight from Dubai to New York on Emirates Airlines?,order flight
Can you help me book a flight from Los Angeles to New York with a layover in Dallas on May 20th?,order flight
I'm looking for a direct flight from Paris to Los Angeles on Air France departing on June 1st,order flight
What is the baggage policy for flights to Rome on Alitalia?,order flight
I want to fly from New York to Sydney in November. Can you help me find a good deal?,order flight
Can you help me book a round-trip flight from San Francisco to Tokyo for two people in January?,order flight
What is the check-in policy for flights to Bangkok on Thai Airways?,order flight
Can you help me find a cheap flight from Toronto to Miami in February?,order flight
I need to book a one-way flight from Los Angeles to San Francisco for four people on April 5th. What are my options?,order flight
What is the cost of a round-trip flight from Seattle to Honolulu in May?,order flight
Can you help me book a flight from Sydney to New York with a stopover in Los Angeles on June 10th?,order flight
I'm interested in booking a flight from Vancouver to Bangkok in July. Can you help me find a good deal?,order flight
What is the baggage allowance for flights to Tokyo on All Nippon Airways?,order flight
Can you help me book a last-minute flight from New York to Chicago on August 20th?,order flight
I'm looking for a direct flight from Miami to London on British Airways departing on September 1st,order flight
What is the cancellation policy for flights to Paris on Air France?,order flight
Can you help me find a flight from San Francisco to Sydney with a layover in Honolulu?,order flight
Can you please book a taxi to pick me up at my hotel at 10 AM tomorrow and take me to the airport?,order taxi
I need to book a taxi to pick me up from the train station at 6 PM tonight and drop me off at the restaurant downtown.,order taxi
Can you arrange for a taxi to take me and my colleagues from the office to the conference center at 9 AM on Monday?,order taxi
I'd like to order a taxi to pick me up from my house at 8 PM and take me to the movie theater.,order taxi
Can you book a taxi to pick me up from the airport at 3 PM on Friday and drop me off at the hotel?,order taxi
I need a taxi to take me and my family from our apartment to the amusement park on Saturday morning.,order taxi
Can you please book a taxi to pick me up from the convention center at 7 PM tonight and take me to the restaurant downtown?,order taxi
I'd like to order a taxi to pick me up from the hotel at 9 AM tomorrow and take me to the beach.,order taxi
Can you arrange for a taxi to take me and my friends from the concert venue to the bar downtown at 11 PM tonight?,order taxi
I need a taxi to pick me up from the office at 5 PM and take me to the train station.,order taxi
Can you please book a taxi to pick me up from the restaurant at 8 PM tonight and take me to the theater?,order taxi
I'd like to order a taxi to pick me up from my house at 6 AM tomorrow and take me to the airport.,order taxi
Can you book a taxi to take me and my partner from the hotel to the museum at 2 PM tomorrow?,order taxi
I need a taxi to pick me up from the bar at 1 AM and take me to my apartment.,order taxi
Can you please arrange for a taxi to take me and my colleagues from the conference center to the restaurant downtown at 12 PM today?,order taxi
I'd like to order a taxi to pick me up from the office at 3 PM and take me to the airport.,order taxi
Can you book a taxi to pick me up from my house at 7 PM tonight and take me to the concert venue?,order taxi
I need a taxi to take me and my family from the hotel to the amusement park at 10 AM tomorrow.,order taxi
Can you please arrange for a taxi to take me from the airport to the hotel at 11 PM tonight?,order taxi
I'd like to order a taxi to pick me up from the train station at 2 PM and take me to the museum.,order taxi
Can you book a taxi to pick me up from the convention center at 6 PM tonight and take me to the hotel?,order taxi
I need a taxi to take me and my friends from the bar to the club at 10 PM tonight.,order taxi
Can you please arrange for a taxi to take me and my colleagues from the office to the airport at 4 PM tomorrow?,order taxi
I'd like to order a taxi to pick me up from the restaurant at 7 PM tonight and take me to the theater.,order taxi
Can you book a taxi to pick me up from my apartment at 8 AM tomorrow and take me to the convention center?,order taxi
I need a taxi to take me and my partner from the hotel to the restaurant downtown at 8 PM tonight.,order taxi
Can you please arrange for a taxi to take me from the train station to the hotel at 5 PM today?,order taxi
Can you please book a taxi to pick me up at my hotel at 10 AM tomorrow and take me to the airport?,order taxi
I need to book a taxi to pick me up from the train station at 6 PM tonight and drop me off at the restaurant downtown.,order taxi
Can you arrange for a taxi to take me and my colleagues from the office to the conference center at 9 AM on Monday?,order taxi
I'd like to order a taxi to pick me up from my house at 8 PM and take me to the movie theater.,order taxi
Can you book a taxi to pick me up from the airport at 3 PM on Friday and drop me off at the hotel?,order taxi
I need a taxi to take me and my family from our apartment to the amusement park on Saturday morning.,order taxi
Can you please book a taxi to pick me up from the convention center at 7 PM tonight and take me to the restaurant downtown?,order taxi
I'd like to order a taxi to pick me up from the hotel at 9 AM tomorrow and take me to the beach.,order taxi
Can you arrange for a taxi to take me and my friends from the concert venue to the bar downtown at 11 PM tonight?,order taxi
I need a taxi to pick me up from the office at 5 PM and take me to the train station.,order taxi
Can you please book a taxi to pick me up from the restaurant at 8 PM tonight and take me to the theater?,order taxi
I'd like to order a taxi to pick me up from my house at 6 AM tomorrow and take me to the airport.,order taxi
Can you book a taxi to take me and my partner from the hotel to the museum at 2 PM tomorrow?,order taxi
I need a taxi to pick me up from the bar at 1 AM and take me to my apartment.,order taxi
Can you please arrange for a taxi to take me and my colleagues from the conference center to the restaurant downtown at 12 PM today?,order taxi
I'd like to order a taxi to pick me up from the office at 3 PM and take me to the airport.,order taxi
Can you book a taxi to pick me up from my house at 7 PM tonight and take me to the concert venue?,order taxi
I need a taxi to take me and my family from the hotel to the amusement park at 10 AM tomorrow.,order taxi
Can you please arrange for a taxi to take me from the airport to the hotel at 11 PM tonight?,order taxi
I'd like to order a taxi to pick me up from the train station at 2 PM and take me to the museum.,order taxi
Can you book a taxi to pick me up from the convention center at 6 PM tonight and take me to the hotel?,order taxi
I need a taxi to take me and my friends from the bar to the club at 10 PM tonight.,order taxi
Can you please arrange for a taxi to take me and my colleagues from the office to the airport at 4 PM tomorrow?,order taxi
I'd like to order a taxi to pick me up from the restaurant at 7 PM tonight and take me to the theater.,order taxi
Can you book a taxi to pick me up from my apartment at 8 AM tomorrow and take me to the convention center?,order taxi
I need a taxi to take me and my partner from the hotel to the restaurant downtown at 8 PM tonight.,order taxi
Can you please arrange for a taxi to take me from the train station to the hotel ,order taxi
at 5 PM today?,order taxi
Can you please book a taxi to pick me up at my hotel at 10 AM tomorrow and take me to the airport?,order taxi
I need to book a taxi to pick me up from the train station at 6 PM tonight and drop me off at the restaurant downtown.,order taxi
Can you arrange for a taxi to take me and my colleagues from the office to the conference center at 9 AM on Monday?,order taxi
I'd like to order a taxi to pick me up from my house at 8 PM and take me to the movie theater.,order taxi
Can you book a taxi to pick me up from the airport at 3 PM on Friday and drop me off at the hotel?,order taxi
I need a taxi to take me and my family from our apartment to the amusement park on Saturday morning.,order taxi
Can you please book a taxi to pick me up from the convention center at 7 PM tonight and take me to the restaurant downtown?,order taxi
I'd like to order a taxi to pick me up from the hotel at 9 AM tomorrow and take me to the beach.,order taxi
Can you arrange for a taxi to take me and my friends from the concert venue to the bar downtown at 11 PM tonight?,order taxi
I need a taxi to pick me up from the office at 5 PM and take me to the train station.,order taxi
Can you please book a taxi to pick me up from the restaurant at 8 PM tonight and take me to the theater?,order taxi
I'd like to order a taxi to pick me up from my house at 6 AM tomorrow and take me to the airport.,order taxi
Can you book a taxi to take me and my partner from the hotel to the museum at 2 PM tomorrow?,order taxi
I need a taxi to pick me up from the bar at 1 AM and take me to my apartment.,order taxi
Can you please arrange for a taxi to take me and my colleagues from the conference center to the restaurant downtown at 12 PM today?,order taxi
I'd like to order a taxi to pick me up from the office at 3 PM and take me to the airport.,order taxi
Can you book a taxi to pick me up from my house at 7 PM tonight and take me to the concert venue?,order taxi
I need a taxi to take me and my family from the hotel to the amusement park at 10 AM tomorrow.,order taxi
Can you please arrange for a taxi to take me from the airport to the hotel at 11 PM tonight?,order taxi
I'd like to order a taxi to pick me up from the train station at 2 PM and take me to the museum.,order taxi
Can you book a taxi to pick me up from the convention center at 6 PM tonight and take me to the hotel?,order taxi
I need a taxi to take me and my friends from the bar to the club at 10 PM tonight.,order taxi
Can you please arrange for a taxi to take me and my colleagues from the office to the airport at 4 PM tomorrow?,order taxi
I'd like to order a taxi to pick me up from the restaurant at 7 PM tonight and take me to the theater.,order taxi
Can you book a taxi to pick me up from my apartment at 8 AM tomorrow and take me to the convention center?,order taxi
I need a taxi to take me and my partner from the hotel to the restaurant downtown at 8 PM tonight.,order taxi
Can you please arrange for a taxi to take me from the train station to the hotel at 5 PM today?,order taxi
 I'm interested in booking a room at your hotel. Can you provide me with availability for the dates of August 10-15?,order hotel
I would like to book a deluxe room for two adults and one child for the dates of July 20-24.,order hotel
Do you have any special offers for a two-night stay in September for a single occupancy room?,order hotel
I'm looking to book a room with a view of the ocean. Can you tell me what options you have available?,order hotel
Can you help me book a room for my upcoming business trip? I need to stay close to the convention center and will require a late checkout.,order hotel
 I need a taxi to pick me up from my hotel at 3 pm and take me to the airport.,order taxi
Can you provide me with a quote for a taxi ride from the airport to downtown?,order taxi
I need to book a taxi for tomorrow morning at 8 am to take me to the train station.,order taxi
Do you offer airport shuttle service? I need transportation for myself and two other passengers.,order taxi
Can I book a taxi for a round-trip ride to a restaurant for tonight at 7 pm?,order taxi
 I'm interested in booking a flight from New York to Los Angeles for the weekend of August 20-22.,order flight
I need to book a one-way flight from London to Paris for next Tuesday.,order flight
Can you help me find the cheapest flights from Chicago to Miami for the first week of September?,order flight
I would like to book a business class flight from Singapore to Tokyo for next month. Can you provide me with options and prices?,order flight
Can you tell me what the baggage allowance is for economy class flights from San Francisco to New York?,order flight
I'm interested in booking a room for two adults and one child. Can you tell me what options you have available?,number of guests
How many guests can your deluxe suite accommodate?,number of guests
Do you charge extra for additional guests in a room?,number of guests
I need to book two rooms for my family vacation. One room will be for two adults and two children,number of guests
Can I book a room for myself and my friend? We're both adults,number of guests
 I'm interested in booking a room at your hotel. Can you provide me with availability for the dates of August 10-15?,order hotel
I would like to book a deluxe room for two adults and one child for the dates of July 20-24.,order hotel
Do you have any special offers for a two-night stay in September for a single occupancy room?,order hotel
I'm looking to book a room with a view of the ocean. Can you tell me what options you have available?,order hotel
Can you help me book a room for my upcoming business trip? I need to stay close to the convention center and will require a late checkout.,order hotel
 I need a taxi to pick me up from my hotel at 3 pm and take me to the airport.,order taxi
Can you provide me with a quote for a taxi ride from the airport to downtown?,order taxi
I need to book a taxi for tomorrow morning at 8 am to take me to the train station.,order taxi
Do you offer airport shuttle service? I need transportation for myself and two other passengers.,order taxi
Can I book a taxi for a round-trip ride to a restaurant for tonight at 7 pm?,order taxi
 I'm interested in booking a flight from New York to Los Angeles for the weekend of August 20-22.,order flight
I need to book a one-way flight from London to Paris for next Tuesday.,order flight
Can you help me find the cheapest flights from Chicago to Miami for the first week of September?,order flight
I would like to book a business class flight from Singapore to Tokyo for next month. Can you provide me with options and prices?,order flight
Can you tell me what the baggage allowance is for economy class flights from San Francisco to New York?,order flight
I'm interested in booking a room for two adults and one child. Can you tell me what options you have available?,number of guests
How many guests can your deluxe suite accommodate?,number of guests
Do you charge extra for additional guests in a room?,number of guests
I need to book two rooms for my family vacation. One room will be for two adults and two children,number of guests
Can I book a room for myself and my friend? We're both adults,number of guests
 I'd like to book a room for two nights starting on August 14th. What's your availability like?,order hotel
I need to book a room for three adults and a baby for the weekend of September 3rd. Can you help me with that?,order hotel
Can you tell me what amenities are included in the price of the room?,order hotel
I'm interested in booking a suite with a balcony. Do you have any available?,order hotel
Is there a shuttle service from the airport to your hotel?,order hotel
I need a ride to the airport tomorrow morning at 6am. Can you arrange that for me?,order taxi
How much would it cost to take a taxi from the train station to the city center?,order taxi
Can I pay for the taxi ride with a credit card?,order taxi
Do you offer child seats in your taxis?,order taxi
we will be 2 adults,number of guests
we will be 2 adults and 1 child,number of guests
we will be 2 adults and 2 childs,number of guests
we will be 2 adults and 3 childs,number of guests
we will be 2 adults and 4 childs,number of guests
we will be 2 adults and 5 childs,number of guests
we will be 2 adults and 2 children,number of guests
we will be 2 adults and 3 children,number of guests
we will be 2 adults and 4 children,number of guests
we will be 2 adults and 5 children,number of guests
we will be two adults and one child,number of guests
we will be two adults and two child,number of guests
we will be two adults and three child,number of guests
we will be two adults and four child,number of guests
we will be two adults and five child,number of guests
we will be two adults and one children,number of guests
we will be two adults and two children,number of guests
we will be two adults and three children,number of guests
we will be two adults and four children,number of guests
we will be two adults and five children,number of guests
I need a room for 2 adults and 1 child,number of guests
I need a room for 2 adults and 2 child,number of guests
I need a room for 2 adults and 3 child,number of guests
I need a room for 2 adults and 4 child,number of guests
I need a room for 2 adults and 5 child,number of guests
I need a room for 2 adults and 6 child,number of guests
I need a room for 3 adults and 1 child,number of guests
I need a room for 3 adults and 2 child,number of guests
I need a room for 3 adults and 3 child,number of guests
I need a room for 3 adults and 4 child,number of guests
I need a room for 3 adults and 5 child,number of guests
I need a room for 3 adults and 6 child,number of guests
I need a room for 4 adults and 1 child,number of guests
I need a room for 4 adults and 2 child,number of guests
I need a room for 4 adults and 3 child,number of guests
I need a room for 4 adults and 4 child,number of guests
we will be 3 adults,number of guests
we will be 3 adults and 1 child,number of guests
we will be 3 adults and 2 childs,number of guests
we will be 3 adults and 3 childs,number of guests
we will be 3 adults and 4 childs,number of guests
we will be 3 adults and 5 childs,number of guests
we will be 3 adults and 2 children,number of guests
we will be 3 adults and 3 children,number of guests
we will be 3 adults and 4 children,number of guests
we will be 3 adults and 5 children,number of guests
we will be three adults and one child,number of guests
we will be three adults and two child,number of guests
we will be three adults and three child,number of guests
we will be three adults and four child,number of guests
we will be three adults and five child,number of guests
we will be three adults and one children,number of guests
we will be three adults and two children,number of guests
we will be three adults and three children,number of guests
we will be three adults and four children,number of guests
we will be three adults and five children,number of guests
1 people,number of guests
2 people,number of guests
3 people,number of guests
4 people,number of guests
5 people,number of guests
6 people,number of guests
7 people,number of guests
one people,number of guests
two people,number of guests
three people,number of guests
four people,number of guests
five people,number of guests
six people,number of guests
seven people,number of guests
one child,number of guests
two childs,number of guests
three childs,number of guests
four childs,number of guests
five childs,number of guests
six childs,number of guests
seven childs,number of guests
